-0.285102,10.505634,-0.588673,-0.000529
-0.285135,10.505656,-0.588732,-0.000506
-0.285167,10.505677,-0.588789,-0.000483
-0.285196,10.505697,-0.588842,-0.000459
-0.285225,10.505715,-0.588894,-0.000440
-0.285252,10.505733,-0.588942,-0.000420
-0.285278,10.505752,-0.588989,-0.000400
-0.285303,10.505768,-0.589034,-0.000383
-0.285326,10.505784,-0.589076,-0.000365
-0.285349,10.505798,-0.589117,-0.000348
-0.285370,10.505813,-0.589156,-0.000333
-0.285391,10.505827,-0.589193,-0.000319
-0.285411,10.505840,-0.589228,-0.000304
-0.285430,10.505853,-0.589262,-0.000291
-0.285448,10.505865,-0.589295,-0.000278
-0.285465,10.505877,-0.589326,-0.000265
-0.285481,10.505887,-0.589355,-0.000254
-0.285497,10.505898,-0.589383,-0.000243
-0.285512,10.505908,-0.589410,-0.000232
-0.285526,10.505918,-0.589436,-0.000222
-0.285540,10.505926,-0.589461,-0.000213
-0.285553,10.505936,-0.589485,-0.000203
-0.285566,10.505943,-0.589507,-0.000195
-0.285578,10.505952,-0.589529,-0.000186
-0.285589,10.505960,-0.589550,-0.000178
-0.285600,10.505967,-0.589570,-0.000170
-0.285611,10.505974,-0.589589,-0.000163
-0.285621,10.505980,-0.589607,-0.000156
-0.285631,10.505987,-0.589624,-0.000149
-0.285640,10.505993,-0.589641,-0.000143
-0.285649,10.506000,-0.589657,-0.000137
-0.285657,10.506004,-0.589672,-0.000131
-0.285665,10.506010,-0.589686,-0.000125
-0.285673,10.506016,-0.589700,-0.000120
-0.285680,10.506021,-0.589714,-0.000115
-0.285688,10.506025,-0.589727,-0.000110
-0.285694,10.506030,-0.589739,-0.000105
-0.285701,10.506034,-0.589750,-0.000101
-0.285707,10.506038,-0.589762,-0.000097
-0.285713,10.506042,-0.589773,-0.000092
-0.285719,10.506046,-0.589783,-0.000089
-0.285724,10.506050,-0.589793,-0.000085
-0.285729,10.506053,-0.589802,-0.000081
-0.285735,10.506057,-0.589811,-0.000078
-0.285739,10.506060,-0.589820,-0.000075
-0.285744,10.506063,-0.589828,-0.000071
-0.285748,10.506065,-0.589836,-0.000069
-0.285753,10.506068,-0.589844,-0.000066
-0.285757,10.506071,-0.589851,-0.000063
-0.285761,10.506074,-0.589858,-0.000060
-0.285764,10.506077,-0.589865,-0.000058
-0.285768,10.506079,-0.589871,-0.000055
-0.285771,10.506082,-0.589877,-0.000053
-0.285775,10.506083,-0.589883,-0.000051
-0.285778,10.506085,-0.589889,-0.000049
-0.285781,10.506087,-0.589894,-0.000047
-0.285784,10.506089,-0.589900,-0.000045
-0.285786,10.506091,-0.589904,-0.000043
-0.285789,10.506093,-0.589909,-0.000041
-0.285791,10.506095,-0.589914,-0.000039
-0.285794,10.506096,-0.589918,-0.000038
-0.285796,10.506098,-0.589922,-0.000036
-0.285798,10.506100,-0.589926,-0.000035
-0.285801,10.506101,-0.589930,-0.000033
-0.285803,10.506103,-0.589934,-0.000032
-0.285805,10.506104,-0.589938,-0.000030
-0.285807,10.506104,-0.589941,-0.000029
-0.285808,10.506106,-0.589944,-0.000028
-0.285810,10.506107,-0.589947,-0.000027
-0.285812,10.506108,-0.589950,-0.000026
-0.285813,10.506109,-0.589953,-0.000025
-0.285815,10.506110,-0.589956,-0.000024
-0.285816,10.506111,-0.589958,-0.000023
